,background radiations,background radiations,E11t,E11g,E12t,E12g,E13t,E13g,E21t,E21g,E22t,E22g,E23t,E23g,E31t,E31g,E32t,E32g,E33t,E33g,E34t,E34g,E35t,E35g,E36t,E36g,E37t,E37g,E38t,E38g,E39t,E39g,E310t,E310g,E311t,E311g,E312t,E312g,E313t,E313g,E314t,E314g,E315t,E315g,E316t,E316g,E317t,E317g,E318t,E318g,E319t,E319g,E320t,E320g,E41t,E41g,E42t,E42g,E43t,E43g,E44t,E44g,E45t,E45g
,6.200,0,6.200,2,6.200,3,6.200,4,64.000,25,64.000,28,64.000,28,3.100,0,3.100,0,3.100,2,3.100,1,3.100,0,3.100,0,3.100,2,3.100,2,3.100,3,3.100,2,3.100,0,3.100,3,3.100,1,3.100,0,3.100,0,3.100,0,3.100,0,3.100,1,3.100,2,3.100,2,64.000,4,64.000,9,64.000,10,64.000,7,64.000,4
,6.400,0,6.400,2,6.400,1,6.400,5,66.000,28,66.000,21,66.000,20,3.200,0,3.200,0,3.200,1,3.200,0,3.200,1,3.200,1,3.200,1,3.200,0,3.200,0,3.200,3,3.200,0,3.200,3,3.200,0,3.200,2,3.200,0,3.200,0,3.200,0,3.200,1,3.200,2,3.200,1,66.000,9,66.000,3,66.000,6,66.000,3,66.000,1
,6.600,1,6.600,5,6.600,3,6.600,2,68.000,16,68.000,18,68.000,16,3.300,2,3.300,1,3.300,0,3.300,1,3.300,0,3.300,2,3.300,2,3.300,3,3.300,1,3.300,0,3.300,1,3.300,2,3.300,0,3.300,4,3.300,1,3.300,0,3.300,1,3.300,1,3.300,1,3.300,1,68.000,7,68.000,4,68.000,8,68.000,4,68.000,1
,6.800,0,6.800,6,6.800,0,6.800,3,70.000,25,70.000,30,70.000,16,3.400,0,3.400,1,3.400,1,3.400,1,3.400,1,3.400,2,3.400,3,3.400,3,3.400,1,3.400,0,3.400,2,3.400,0,3.400,0,3.400,0,3.400,2,3.400,0,3.400,1,3.400,2,3.400,0,3.400,0,70.000,9,70.000,8,70.000,5,70.000,5,70.000,6
,7.000,0,7.000,1,7.000,6,7.000,1,72.000,24,72.000,25,72.000,18,3.500,2,3.500,0,3.500,1,3.500,1,3.500,5,3.500,2,3.500,1,3.500,0,3.500,3,3.500,0,3.500,2,3.500,2,3.500,0,3.500,0,3.500,5,3.500,3,3.500,1,3.500,2,3.500,1,3.500,1,72.000,6,72.000,4,72.000,5,72.000,10,72.000,4
,7.200,0,7.200,1,7.200,1,7.200,3,74.000,25,74.000,26,74.000,28,3.600,3,3.600,2,3.600,3,3.600,1,3.600,0,3.600,1,3.600,2,3.600,2,3.600,0,3.600,2,3.600,1,3.600,0,3.600,1,3.600,2,3.600,1,3.600,1,3.600,3,3.600,3,3.600,3,3.600,2,74.000,5,74.000,6,74.000,5,74.000,1,74.000,5
,7.400,0,7.400,4,7.400,0,7.400,1,76.000,19,76.000,24,76.000,16,3.700,3,3.700,2,3.700,1,3.700,1,3.700,1,3.700,0,3.700,2,3.700,2,3.700,2,3.700,3,3.700,1,3.700,0,3.700,2,3.700,0,3.700,1,3.700,0,3.700,3,3.700,2,3.700,2,3.700,4,76.000,8,76.000,3,76.000,2,76.000,6,76.000,2
,7.600,0,7.600,4,7.600,1,7.600,5,78.000,28,78.000,15,78.000,19,3.800,0,3.800,3,3.800,3,3.800,2,3.800,0,3.800,0,3.800,1,3.800,0,3.800,1,3.800,2,3.800,1,3.800,2,3.800,2,3.800,2,3.800,0,3.800,0,3.800,0,3.800,2,3.800,0,3.800,0,78.000,6,78.000,4,78.000,5,78.000,3,78.000,1
,7.800,0,7.800,3,7.800,2,7.800,4,80.000,30,80.000,22,80.000,18,3.900,3,3.900,2,3.900,3,3.900,2,3.900,1,3.900,0,3.900,1,3.900,0,3.900,0,3.900,1,3.900,0,3.900,2,3.900,0,3.900,2,3.900,1,3.900,0,3.900,0,3.900,2,3.900,0,3.900,1,80.000,10,80.000,4,80.000,12,80.000,3,80.000,6
,8.000,0,8.000,2,8.000,3,8.000,1,82.000,27,82.000,20,82.000,19,4.000,5,4.000,1,4.000,0,4.000,2,4.000,1,4.000,1,4.000,0,4.000,1,4.000,1,4.000,1,4.000,1,4.000,2,4.000,1,4.000,0,4.000,1,4.000,1,4.000,1,4.000,4,4.000,3,4.000,1,82.000,6,82.000,12,82.000,4,82.000,5,82.000,4
,8.200,0,8.200,4,8.200,0,8.200,3,84.000,21,84.000,20,84.000,31,4.100,1,4.100,3,4.100,1,4.100,0,4.100,1,4.100,2,4.100,2,4.100,2,4.100,1,4.100,1,4.100,1,4.100,0,4.100,0,4.100,1,4.100,3,4.100,1,4.100,1,4.100,2,4.100,1,4.100,2,84.000,7,84.000,7,84.000,7,84.000,9,84.000,9
,8.400,0,8.400,2,8.400,1,8.400,3,86.000,16,86.000,27,86.000,23,4.200,0,4.200,1,4.200,0,4.200,1,4.200,1,4.200,1,4.200,1,4.200,0,4.200,0,4.200,0,4.200,0,4.200,0,4.200,2,4.200,1,4.200,2,4.200,1,4.200,0,4.200,1,4.200,0,4.200,2,86.000,6,86.000,6,86.000,9,86.000,2,86.000,6
