,background radiations,background radiations,E11t,E11g,E12t,E12g,E13t,E13g,E21t,E21g,E22t,E22g,E23t,E23g,E31t,E31g,E32t,E32g,E33t,E33g,E34t,E34g,E35t,E35g,E36t,E36g,E37t,E37g,E38t,E38g,E39t,E39g,E310t,E310g,E311t,E311g,E312t,E312g,E313t,E313g,E314t,E314g,E315t,E315g,E316t,E316g,E317t,E317g,E318t,E318g,E319t,E319g,E320t,E320g,E41t,E41g,E42t,E42g,E43t,E43g,E44t,E44g,E45t,E45g
,,,95.600,3,95.600,5,95.600,4,,,,,,,47.800,1,47.800,0,47.800,1,47.800,2,47.800,0,47.800,2,47.800,2,47.800,0,47.800,1,47.800,1,47.800,0,47.800,1,47.800,1,47.800,1,47.800,0,47.800,2,47.800,3,47.800,2,47.800,0,47.800,0,,,,,,,,,,
,,,95.800,1,95.800,1,95.800,4,,,,,,,47.900,1,47.900,0,47.900,1,47.900,0,47.900,2,47.900,1,47.900,0,47.900,4,47.900,4,47.900,2,47.900,2,47.900,3,47.900,3,47.900,2,47.900,0,47.900,3,47.900,0,47.900,0,47.900,4,47.900,0,,,,,,,,,,
,,,96.000,2,96.000,2,96.000,0,,,,,,,48.000,0,48.000,0,48.000,1,48.000,2,48.000,1,48.000,0,48.000,1,48.000,2,48.000,2,48.000,1,48.000,2,48.000,0,48.000,2,48.000,4,48.000,2,48.000,1,48.000,3,48.000,0,48.000,3,48.000,3,,,,,,,,,,
,,,96.200,4,96.200,0,96.200,2,,,,,,,48.100,1,48.100,2,48.100,2,48.100,3,48.100,3,48.100,0,48.100,1,48.100,1,48.100,2,48.100,0,48.100,1,48.100,0,48.100,1,48.100,0,48.100,1,48.100,1,48.100,0,48.100,0,48.100,3,48.100,3,,,,,,,,,,
,,,96.400,2,96.400,1,96.400,3,,,,,,,48.200,0,48.200,2,48.200,1,48.200,1,48.200,1,48.200,2,48.200,0,48.200,1,48.200,3,48.200,1,48.200,0,48.200,2,48.200,3,48.200,0,48.200,1,48.200,0,48.200,0,48.200,1,48.200,0,48.200,1,,,,,,,,,,
,,,96.600,2,96.600,1,96.600,4,,,,,,,48.300,4,48.300,1,48.300,1,48.300,2,48.300,1,48.300,1,48.300,0,48.300,1,48.300,0,48.300,1,48.300,1,48.300,1,48.300,0,48.300,1,48.300,0,48.300,0,48.300,3,48.300,3,48.300,0,48.300,1,,,,,,,,,,
,,,96.800,3,96.800,0,96.800,2,,,,,,,48.400,1,48.400,3,48.400,0,48.400,1,48.400,0,48.400,2,48.400,1,48.400,2,48.400,3,48.400,0,48.400,4,48.400,0,48.400,2,48.400,0,48.400,1,48.400,1,48.400,3,48.400,1,48.400,0,48.400,0,,,,,,,,,,
,,,97.000,0,97.000,2,97.000,1,,,,,,,48.500,0,48.500,1,48.500,2,48.500,0,48.500,2,48.500,3,48.500,4,48.500,2,48.500,1,48.500,0,48.500,5,48.500,1,48.500,0,48.500,0,48.500,3,48.500,0,48.500,0,48.500,3,48.500,2,48.500,2,,,,,,,,,,
,,,97.200,2,97.200,2,97.200,3,,,,,,,48.600,3,48.600,1,48.600,0,48.600,0,48.600,3,48.600,2,48.600,1,48.600,1,48.600,2,48.600,3,48.600,1,48.600,1,48.600,2,48.600,1,48.600,1,48.600,1,48.600,0,48.600,0,48.600,1,48.600,0,,,,,,,,,,
,,,97.400,0,97.400,2,97.400,3,,,,,,,48.700,2,48.700,2,48.700,3,48.700,1,48.700,0,48.700,3,48.700,3,48.700,0,48.700,1,48.700,0,48.700,0,48.700,1,48.700,0,48.700,0,48.700,0,48.700,2,48.700,1,48.700,4,48.700,0,48.700,0,,,,,,,,,,
,,,97.600,2,97.600,4,97.600,5,,,,,,,48.800,3,48.800,2,48.800,1,48.800,2,48.800,2,48.800,4,48.800,1,48.800,3,48.800,2,48.800,2,48.800,0,48.800,0,48.800,0,48.800,1,48.800,2,48.800,2,48.800,2,48.800,0,48.800,3,48.800,0,,,,,,,,,,
,,,97.800,4,97.800,1,97.800,0,,,,,,,48.900,0,48.900,1,48.900,2,48.900,1,48.900,1,48.900,1,48.900,1,48.900,1,48.900,3,48.900,3,48.900,0,48.900,0,48.900,1,48.900,0,48.900,1,48.900,1,48.900,0,48.900,0,48.900,1,48.900,1,,,,,,,,,,
,,,98.000,1,98.000,1,98.000,3,,,,,,,49.000,2,49.000,2,49.000,1,49.000,3,49.000,0,49.000,2,49.000,0,49.000,2,49.000,2,49.000,0,49.000,0,49.000,3,49.000,0,49.000,1,49.000,1,49.000,2,49.000,1,49.000,1,49.000,1,49.000,2,,,,,,,,,,
,,,98.200,3,98.200,3,98.200,2,,,,,,,49.100,1,49.100,3,49.100,2,49.100,2,49.100,1,49.100,0,49.100,2,49.100,2,49.100,1,49.100,1,49.100,2,49.100,2,49.100,1,49.100,0,49.100,3,49.100,0,49.100,1,49.100,1,49.100,1,49.100,1,,,,,,,,,,
,,,98.400,1,98.400,2,98.400,3,,,,,,,49.200,2,49.200,0,49.200,1,49.200,0,49.200,0,49.200,0,49.200,1,49.200,2,49.200,0,49.200,1,49.200,0,49.200,1,49.200,1,49.200,1,49.200,1,49.200,1,49.200,2,49.200,2,49.200,0,49.200,1,,,,,,,,,,
,,,98.600,2,98.600,1,98.600,4,,,,,,,49.300,0,49.300,4,49.300,3,49.300,3,49.300,1,49.300,2,49.300,1,49.300,1,49.300,1,49.300,0,49.300,3,49.300,2,49.300,0,49.300,0,49.300,3,49.300,1,49.300,2,49.300,1,49.300,0,49.300,0,,,,,,,,,,
,,,98.800,1,98.800,0,98.800,2,,,,,,,49.400,0,49.400,2,49.400,3,49.400,0,49.400,0,49.400,0,49.400,0,49.400,2,49.400,1,49.400,0,49.400,1,49.400,0,49.400,3,49.400,2,49.400,2,49.400,0,49.400,4,49.400,1,49.400,1,49.400,1,,,,,,,,,,
,,,99.000,4,99.000,2,99.000,1,,,,,,,49.500,2,49.500,1,49.500,0,49.500,1,49.500,0,49.500,2,49.500,1,49.500,2,49.500,0,49.500,1,49.500,2,49.500,0,49.500,1,49.500,0,49.500,0,49.500,0,49.500,0,49.500,0,49.500,0,49.500,3,,,,,,,,,,
,,,99.200,2,99.200,1,99.200,2,,,,,,,49.600,1,49.600,1,49.600,1,49.600,3,49.600,1,49.600,0,49.600,1,49.600,2,49.600,1,49.600,0,49.600,4,49.600,2,49.600,0,49.600,2,49.600,2,49.600,2,49.600,2,49.600,2,49.600,1,49.600,0,,,,,,,,,,
,,,99.400,3,99.400,1,99.400,4,,,,,,,49.700,3,49.700,2,49.700,2,49.700,1,49.700,2,49.700,0,49.700,1,49.700,1,49.700,0,49.700,0,49.700,0,49.700,1,49.700,2,49.700,1,49.700,1,49.700,3,49.700,0,49.700,1,49.700,4,49.700,2,,,,,,,,,,
,,,99.600,3,99.600,3,99.600,1,,,,,,,49.800,1,49.800,2,49.800,1,49.800,5,49.800,1,49.800,1,49.800,2,49.800,2,49.800,1,49.800,0,49.800,0,49.800,2,49.800,1,49.800,2,49.800,1,49.800,0,49.800,1,49.800,0,49.800,0,49.800,0,,,,,,,,,,
,,,99.800,3,99.800,4,99.800,1,,,,,,,49.900,1,49.900,1,49.900,1,49.900,0,49.900,0,49.900,1,49.900,2,49.900,2,49.900,0,49.900,1,49.900,0,49.900,1,49.900,2,49.900,2,49.900,1,49.900,2,49.900,2,49.900,1,49.900,5,49.900,0,,,,,,,,,,
,,,100.000,3,100.000,2,100.000,3,,,,,,,50.000,0,50.000,2,50.000,0,50.000,0,50.000,1,50.000,1,50.000,0,50.000,0,50.000,0,50.000,1,50.000,0,50.000,0,50.000,1,50.000,2,50.000,0,50.000,0,50.000,0,50.000,2,50.000,1,50.000,1,,,,,,,,,,
,,,100.200,5,100.200,2,100.200,3,,,,,,,50.100,2,50.100,0,50.100,0,50.100,1,50.100,0,50.100,0,50.100,1,50.100,1,50.100,1,50.100,2,50.100,1,50.100,2,50.100,0,50.100,1,50.100,1,50.100,2,50.100,1,50.100,3,50.100,0,50.100,2,,,,,,,,,,
,,,100.400,4,100.400,2,100.400,0,,,,,,,50.200,3,50.200,1,50.200,0,50.200,2,50.200,1,50.200,0,50.200,1,50.200,0,50.200,1,50.200,0,50.200,1,50.200,1,50.200,1,50.200,3,50.200,0,50.200,0,50.200,5,50.200,0,50.200,1,50.200,2,,,,,,,,,,
,,,100.600,6,100.600,1,100.600,1,,,,,,,50.300,1,50.300,0,50.300,1,50.300,0,50.300,1,50.300,0,50.300,0,50.300,2,50.300,1,50.300,4,50.300,3,50.300,2,50.300,1,50.300,1,50.300,1,50.300,0,50.300,1,50.300,0,50.300,2,50.300,1,,,,,,,,,,
,,,100.800,4,100.800,2,100.800,1,,,,,,,50.400,2,50.400,1,50.400,0,50.400,1,50.400,1,50.400,1,50.400,0,50.400,2,50.400,2,50.400,0,50.400,0,50.400,1,50.400,2,50.400,0,50.400,0,50.400,2,50.400,0,50.400,2,50.400,0,50.400,0,,,,,,,,,,
,,,101.000,0,101.000,3,101.000,5,,,,,,,50.500,0,50.500,2,50.500,3,50.500,0,50.500,0,50.500,1,50.500,1,50.500,2,50.500,1,50.500,1,50.500,0,50.500,2,50.500,1,50.500,1,50.500,0,50.500,1,50.500,2,50.500,0,50.500,1,50.500,1,,,,,,,,,,
,,,101.200,0,101.200,2,101.200,2,,,,,,,50.600,1,50.600,1,50.600,1,50.600,0,50.600,1,50.600,0,50.600,0,50.600,1,50.600,2,50.600,3,50.600,1,50.600,2,50.600,3,50.600,0,50.600,0,50.600,0,50.600,0,50.600,3,50.600,1,50.600,2,,,,,,,,,,
,,,101.400,3,101.400,2,101.400,5,,,,,,,50.700,1,50.700,3,50.700,1,50.700,0,50.700,2,50.700,1,50.700,0,50.700,0,50.700,0,50.700,1,50.700,3,50.700,1,50.700,2,50.700,3,50.700,0,50.700,0,50.700,2,50.700,0,50.700,0,50.700,2,,,,,,,,,,
,,,101.600,1,101.600,1,101.600,6,,,,,,,50.800,0,50.800,1,50.800,1,50.800,2,50.800,0,50.800,0,50.800,1,50.800,1,50.800,0,50.800,0,50.800,0,50.800,1,50.800,1,50.800,0,50.800,1,50.800,3,50.800,2,50.800,0,50.800,0,50.800,1,,,,,,,,,,
,,,101.800,3,101.800,2,101.800,3,,,,,,,50.900,2,50.900,0,50.900,0,50.900,1,50.900,1,50.900,0,50.900,2,50.900,0,50.900,0,50.900,0,50.900,0,50.900,1,50.900,0,50.900,0,50.900,1,50.900,2,50.900,1,50.900,2,50.900,0,50.900,3,,,,,,,,,,
,,,102.000,5,102.000,0,102.000,5,,,,,,,51.000,3,51.000,2,51.000,0,51.000,0,51.000,1,51.000,0,51.000,0,51.000,3,51.000,0,51.000,0,51.000,0,51.000,0,51.000,0,51.000,2,51.000,1,51.000,0,51.000,1,51.000,2,51.000,1,51.000,2,,,,,,,,,,
,,,102.200,3,102.200,4,102.200,1,,,,,,,51.100,0,51.100,0,51.100,3,51.100,1,51.100,1,51.100,0,51.100,1,51.100,0,51.100,0,51.100,1,51.100,2,51.100,1,51.100,1,51.100,4,51.100,3,51.100,2,51.100,2,51.100,1,51.100,4,51.100,0,,,,,,,,,,
,,,102.400,1,102.400,2,102.400,0,,,,,,,51.200,0,51.200,2,51.200,0,51.200,3,51.200,1,51.200,1,51.200,1,51.200,1,51.200,0,51.200,1,51.200,0,51.200,0,51.200,1,51.200,0,51.200,1,51.200,1,51.200,3,51.200,0,51.200,0,51.200,0,,,,,,,,,,
,,,102.600,0,102.600,1,102.600,3,,,,,,,51.300,2,51.300,1,51.300,1,51.300,1,51.300,2,51.300,0,51.300,0,51.300,1,51.300,0,51.300,1,51.300,1,51.300,1,51.300,5,51.300,0,51.300,0,51.300,2,51.300,0,51.300,1,51.300,1,51.300,2,,,,,,,,,,
,,,102.800,1,102.800,2,102.800,1,,,,,,,51.400,1,51.400,3,51.400,0,51.400,1,51.400,0,51.400,1,51.400,0,51.400,1,51.400,3,51.400,1,51.400,1,51.400,0,51.400,1,51.400,2,51.400,3,51.400,1,51.400,0,51.400,1,51.400,0,51.400,0,,,,,,,,,,
,,,103.000,0,103.000,2,103.000,5,,,,,,,51.500,1,51.500,0,51.500,1,51.500,3,51.500,2,51.500,3,51.500,0,51.500,2,51.500,2,51.500,0,51.500,0,51.500,0,51.500,2,51.500,0,51.500,1,51.500,1,51.500,3,51.500,1,51.500,0,51.500,1,,,,,,,,,,
,,,103.200,2,103.200,4,103.200,2,,,,,,,51.600,1,51.600,3,51.600,2,51.600,2,51.600,1,51.600,1,51.600,0,51.600,0,51.600,1,51.600,2,51.600,1,51.600,2,51.600,0,51.600,2,51.600,1,51.600,1,51.600,1,51.600,2,51.600,1,51.600,0,,,,,,,,,,
,,,103.400,1,103.400,2,103.400,0,,,,,,,51.700,0,51.700,2,51.700,2,51.700,1,51.700,0,51.700,1,51.700,0,51.700,2,51.700,2,51.700,1,51.700,1,51.700,0,51.700,3,51.700,3,51.700,1,51.700,4,51.700,0,51.700,1,51.700,2,51.700,1,,,,,,,,,,
,,,103.600,3,103.600,1,103.600,4,,,,,,,51.800,1,51.800,1,51.800,1,51.800,3,51.800,3,51.800,0,51.800,0,51.800,1,51.800,1,51.800,1,51.800,1,51.800,1,51.800,2,51.800,3,51.800,3,51.800,0,51.800,0,51.800,0,51.800,1,51.800,3,,,,,,,,,,
,,,103.800,1,103.800,4,103.800,4,,,,,,,51.900,3,51.900,0,51.900,2,51.900,2,51.900,2,51.900,0,51.900,0,51.900,1,51.900,4,51.900,1,51.900,1,51.900,0,51.900,2,51.900,2,51.900,1,51.900,0,51.900,1,51.900,2,51.900,0,51.900,1,,,,,,,,,,
,,,104.000,0,104.000,2,104.000,4,,,,,,,52.000,1,52.000,0,52.000,1,52.000,1,52.000,2,52.000,0,52.000,0,52.000,1,52.000,4,52.000,1,52.000,1,52.000,1,52.000,2,52.000,2,52.000,1,52.000,2,52.000,2,52.000,0,52.000,0,52.000,1,,,,,,,,,,
,,,104.200,3,104.200,1,104.200,0,,,,,,,52.100,0,52.100,0,52.100,1,52.100,3,52.100,1,52.100,1,52.100,3,52.100,2,52.100,2,52.100,1,52.100,2,52.100,0,52.100,1,52.100,0,52.100,1,52.100,2,52.100,0,52.100,2,52.100,0,52.100,3,,,,,,,,,,
,,,104.400,0,104.400,2,104.400,2,,,,,,,52.200,0,52.200,2,52.200,1,52.200,1,52.200,1,52.200,0,52.200,1,52.200,5,52.200,1,52.200,2,52.200,0,52.200,1,52.200,0,52.200,1,52.200,0,52.200,2,52.200,0,52.200,0,52.200,2,52.200,2,,,,,,,,,,
,,,104.600,1,104.600,4,104.600,2,,,,,,,52.300,2,52.300,3,52.300,1,52.300,1,52.300,3,52.300,2,52.300,1,52.300,3,52.300,3,52.300,0,52.300,1,52.300,2,52.300,0,52.300,1,52.300,1,52.300,2,52.300,0,52.300,2,52.300,0,52.300,1,,,,,,,,,,
,,,104.800,1,104.800,5,104.800,3,,,,,,,52.400,2,52.400,0,52.400,1,52.400,0,52.400,0,52.400,4,52.400,0,52.400,0,52.400,1,52.400,2,52.400,0,52.400,0,52.400,0,52.400,1,52.400,1,52.400,1,52.400,1,52.400,2,52.400,1,52.400,1,,,,,,,,,,
,,,105.000,2,105.000,4,105.000,3,,,,,,,52.500,0,52.500,2,52.500,2,52.500,1,52.500,2,52.500,1,52.500,2,52.500,2,52.500,0,52.500,1,52.500,1,52.500,0,52.500,1,52.500,1,52.500,4,52.500,3,52.500,0,52.500,1,52.500,0,52.500,2,,,,,,,,,,
,,,105.200,1,105.200,1,105.200,4,,,,,,,52.600,1,52.600,0,52.600,0,52.600,1,52.600,0,52.600,0,52.600,1,52.600,0,52.600,3,52.600,2,52.600,1,52.600,2,52.600,1,52.600,0,52.600,1,52.600,1,52.600,1,52.600,1,52.600,1,52.600,1,,,,,,,,,,
,,,105.400,0,105.400,0,105.400,1,,,,,,,52.700,3,52.700,5,52.700,1,52.700,0,52.700,3,52.700,1,52.700,1,52.700,4,52.700,0,52.700,2,52.700,0,52.700,0,52.700,0,52.700,2,52.700,3,52.700,1,52.700,2,52.700,0,52.700,1,52.700,3,,,,,,,,,,
,,,105.600,2,105.600,2,105.600,5,,,,,,,52.800,3,52.800,1,52.800,2,52.800,1,52.800,0,52.800,0,52.800,1,52.800,0,52.800,1,52.800,2,52.800,1,52.800,1,52.800,1,52.800,1,52.800,1,52.800,0,52.800,2,52.800,0,52.800,0,52.800,1,,,,,,,,,,
,,,105.800,4,105.800,4,105.800,1,,,,,,,52.900,0,52.900,0,52.900,0,52.900,1,52.900,0,52.900,2,52.900,1,52.900,2,52.900,0,52.900,0,52.900,1,52.900,0,52.900,0,52.900,1,52.900,0,52.900,0,52.900,0,52.900,1,52.900,1,52.900,3,,,,,,,,,,
,,,106.000,0,106.000,2,106.000,4,,,,,,,53.000,1,53.000,0,53.000,0,53.000,1,53.000,3,53.000,1,53.000,0,53.000,1,53.000,1,53.000,0,53.000,2,53.000,1,53.000,0,53.000,1,53.000,2,53.000,1,53.000,1,53.000,0,53.000,0,53.000,0,,,,,,,,,,
,,,106.200,1,106.200,3,106.200,6,,,,,,,53.100,1,53.100,1,53.100,2,53.100,2,53.100,0,53.100,1,53.100,1,53.100,1,53.100,1,53.100,0,53.100,0,53.100,0,53.100,2,53.100,2,53.100,0,53.100,1,53.100,0,53.100,1,53.100,1,53.100,1,,,,,,,,,,
,,,106.400,2,106.400,4,106.400,1,,,,,,,53.200,1,53.200,1,53.200,0,53.200,1,53.200,2,53.200,2,53.200,2,53.200,1,53.200,2,53.200,2,53.200,2,53.200,5,53.200,2,53.200,3,53.200,2,53.200,2,53.200,0,53.200,4,53.200,0,53.200,1,,,,,,,,,,
,,,106.600,2,106.600,1,106.600,2,,,,,,,53.300,1,53.300,0,53.300,1,53.300,1,53.300,1,53.300,1,53.300,1,53.300,2,53.300,0,53.300,0,53.300,1,53.300,4,53.300,1,53.300,1,53.300,1,53.300,3,53.300,2,53.300,0,53.300,1,53.300,0,,,,,,,,,,
,,,106.800,3,106.800,2,106.800,3,,,,,,,53.400,1,53.400,1,53.400,0,53.400,2,53.400,0,53.400,0,53.400,1,53.400,1,53.400,1,53.400,1,53.400,1,53.400,1,53.400,2,53.400,3,53.400,1,53.400,3,53.400,1,53.400,2,53.400,0,53.400,2,,,,,,,,,,
,,,107.000,1,107.000,0,107.000,3,,,,,,,53.500,2,53.500,1,53.500,2,53.500,0,53.500,2,53.500,1,53.500,1,53.500,1,53.500,2,53.500,2,53.500,0,53.500,1,53.500,3,53.500,0,53.500,1,53.500,0,53.500,2,53.500,1,53.500,3,53.500,1,,,,,,,,,,
,,,107.200,1,107.200,2,107.200,1,,,,,,,53.600,0,53.600,1,53.600,1,53.600,1,53.600,3,53.600,4,53.600,2,53.600,1,53.600,1,53.600,1,53.600,3,53.600,1,53.600,1,53.600,2,53.600,1,53.600,1,53.600,1,53.600,3,53.600,1,53.600,1,,,,,,,,,,
,,,107.400,1,107.400,2,107.400,3,,,,,,,53.700,3,53.700,0,53.700,0,53.700,0,53.700,1,53.700,2,53.700,1,53.700,0,53.700,4,53.700,1,53.700,1,53.700,0,53.700,4,53.700,1,53.700,1,53.700,3,53.700,0,53.700,0,53.700,1,53.700,2,,,,,,,,,,
,,,107.600,2,107.600,3,107.600,3,,,,,,,53.800,4,53.800,0,53.800,1,53.800,0,53.800,1,53.800,2,53.800,0,53.800,2,53.800,2,53.800,2,53.800,0,53.800,0,53.800,3,53.800,5,53.800,2,53.800,1,53.800,1,53.800,1,53.800,0,53.800,0,,,,,,,,,,
,,,107.800,1,107.800,2,107.800,0,,,,,,,53.900,0,53.900,2,53.900,1,53.900,1,53.900,2,53.900,0,53.900,2,53.900,0,53.900,0,53.900,0,53.900,0,53.900,2,53.900,2,53.900,0,53.900,0,53.900,1,53.900,2,53.900,3,53.900,3,53.900,1,,,,,,,,,,
,,,108.000,3,108.000,1,108.000,2,,,,,,,54.000,4,54.000,2,54.000,0,54.000,0,54.000,2,54.000,0,54.000,1,54.000,1,54.000,0,54.000,1,54.000,0,54.000,0,54.000,2,54.000,2,54.000,0,54.000,3,54.000,2,54.000,1,54.000,0,54.000,0,,,,,,,,,,
,,,108.200,1,108.200,2,108.200,5,,,,,,,54.100,1,54.100,2,54.100,2,54.100,0,54.100,2,54.100,1,54.100,1,54.100,3,54.100,2,54.100,1,54.100,2,54.100,2,54.100,2,54.100,0,54.100,0,54.100,1,54.100,1,54.100,0,54.100,1,54.100,2,,,,,,,,,,
,,,108.400,3,108.400,2,108.400,4,,,,,,,54.200,1,54.200,0,54.200,0,54.200,1,54.200,2,54.200,3,54.200,0,54.200,2,54.200,1,54.200,0,54.200,2,54.200,0,54.200,1,54.200,3,54.200,1,54.200,1,54.200,1,54.200,2,54.200,2,54.200,2,,,,,,,,,,
,,,108.600,5,108.600,4,108.600,0,,,,,,,54.300,0,54.300,3,54.300,1,54.300,2,54.300,0,54.300,0,54.300,3,54.300,1,54.300,1,54.300,3,54.300,0,54.300,0,54.300,0,54.300,3,54.300,0,54.300,0,54.300,2,54.300,2,54.300,0,54.300,1,,,,,,,,,,
,,,108.800,1,108.800,3,108.800,1,,,,,,,54.400,1,54.400,0,54.400,3,54.400,1,54.400,0,54.400,2,54.400,1,54.400,1,54.400,2,54.400,0,54.400,1,54.400,0,54.400,3,54.400,2,54.400,0,54.400,2,54.400,2,54.400,1,54.400,1,54.400,1,,,,,,,,,,
,,,109.000,3,109.000,2,109.000,5,,,,,,,54.500,2,54.500,4,54.500,0,54.500,0,54.500,1,54.500,0,54.500,0,54.500,1,54.500,4,54.500,0,54.500,0,54.500,4,54.500,1,54.500,1,54.500,1,54.500,1,54.500,2,54.500,1,54.500,3,54.500,1,,,,,,,,,,
,,,109.200,4,109.200,4,109.200,3,,,,,,,54.600,0,54.600,0,54.600,2,54.600,1,54.600,0,54.600,1,54.600,1,54.600,1,54.600,1,54.600,1,54.600,1,54.600,1,54.600,1,54.600,3,54.600,0,54.600,0,54.600,4,54.600,0,54.600,1,54.600,0,,,,,,,,,,
,,,109.400,1,109.400,2,109.400,3,,,,,,,54.700,4,54.700,1,54.700,0,54.700,2,54.700,1,54.700,0,54.700,0,54.700,2,54.700,0,54.700,3,54.700,1,54.700,0,54.700,2,54.700,1,54.700,2,54.700,2,54.700,0,54.700,3,54.700,3,54.700,0,,,,,,,,,,
,,,109.600,2,109.600,4,109.600,0,,,,,,,54.800,1,54.800,0,54.800,0,54.800,2,54.800,3,54.800,2,54.800,1,54.800,0,54.800,1,54.800,1,54.800,0,54.800,2,54.800,1,54.800,1,54.800,1,54.800,0,54.800,2,54.800,1,54.800,3,54.800,0,,,,,,,,,,
,,,109.800,3,109.800,1,109.800,3,,,,,,,54.900,0,54.900,0,54.900,1,54.900,0,54.900,1,54.900,0,54.900,0,54.900,0,54.900,1,54.900,0,54.900,3,54.900,0,54.900,2,54.900,3,54.900,0,54.900,0,54.900,1,54.900,1,54.900,1,54.900,0,,,,,,,,,,
,,,110.000,1,110.000,2,110.000,0,,,,,,,55.000,3,55.000,0,55.000,4,55.000,0,55.000,0,55.000,0,55.000,4,55.000,0,55.000,0,55.000,1,55.000,1,55.000,0,55.000,2,55.000,0,55.000,1,55.000,3,55.000,3,55.000,3,55.000,2,55.000,0,,,,,,,,,,
,,,110.200,1,110.200,1,110.200,4,,,,,,,55.100,0,55.100,1,55.100,0,55.100,3,55.100,1,55.100,1,55.100,1,55.100,2,55.100,0,55.100,1,55.100,1,55.100,1,55.100,3,55.100,3,55.100,1,55.100,0,55.100,0,55.100,1,55.100,0,55.100,0,,,,,,,,,,
,,,110.400,0,110.400,1,110.400,3,,,,,,,55.200,2,55.200,1,55.200,0,55.200,1,55.200,0,55.200,3,55.200,1,55.200,1,55.200,2,55.200,2,55.200,0,55.200,2,55.200,1,55.200,2,55.200,1,55.200,0,55.200,0,55.200,1,55.200,1,55.200,0,,,,,,,,,,
,,,110.600,2,110.600,3,110.600,2,,,,,,,55.300,5,55.300,1,55.300,1,55.300,3,55.300,2,55.300,1,55.300,1,55.300,2,55.300,1,55.300,0,55.300,1,55.300,1,55.300,1,55.300,3,55.300,0,55.300,0,55.300,0,55.300,0,55.300,1,55.300,3,,,,,,,,,,
,,,110.800,5,110.800,4,110.800,3,,,,,,,55.400,0,55.400,0,55.400,0,55.400,2,55.400,1,55.400,0,55.400,1,55.400,0,55.400,0,55.400,0,55.400,1,55.400,0,55.400,2,55.400,3,55.400,1,55.400,1,55.400,0,55.400,2,55.400,1,55.400,2,,,,,,,,,,
,,,111.000,3,111.000,1,111.000,2,,,,,,,55.500,2,55.500,0,55.500,1,55.500,1,55.500,0,55.500,1,55.500,1,55.500,3,55.500,0,55.500,3,55.500,1,55.500,1,55.500,0,55.500,1,55.500,2,55.500,1,55.500,0,55.500,0,55.500,1,55.500,1,,,,,,,,,,
,,,111.200,1,111.200,1,111.200,1,,,,,,,55.600,1,55.600,1,55.600,2,55.600,0,55.600,2,55.600,0,55.600,2,55.600,0,55.600,0,55.600,0,55.600,0,55.600,3,55.600,0,55.600,1,55.600,0,55.600,0,55.600,0,55.600,1,55.600,1,55.600,1,,,,,,,,,,
,,,111.400,1,111.400,4,111.400,0,,,,,,,55.700,3,55.700,2,55.700,1,55.700,0,55.700,0,55.700,0,55.700,1,55.700,0,55.700,1,55.700,2,55.700,2,55.700,2,55.700,2,55.700,1,55.700,1,55.700,1,55.700,0,55.700,1,55.700,0,55.700,1,,,,,,,,,,
,,,111.600,0,111.600,2,111.600,2,,,,,,,55.800,1,55.800,0,55.800,2,55.800,3,55.800,1,55.800,3,55.800,0,55.800,2,55.800,1,55.800,1,55.800,2,55.800,2,55.800,4,55.800,0,55.800,0,55.800,0,55.800,0,55.800,1,55.800,2,55.800,2,,,,,,,,,,
,,,111.800,1,111.800,3,111.800,1,,,,,,,55.900,0,55.900,1,55.900,2,55.900,0,55.900,2,55.900,1,55.900,1,55.900,2,55.900,2,55.900,1,55.900,2,55.900,1,55.900,2,55.900,2,55.900,0,55.900,2,55.900,5,55.900,0,55.900,1,55.900,0,,,,,,,,,,
,,,112.000,0,112.000,0,112.000,2,,,,,,,56.000,0,56.000,1,56.000,0,56.000,2,56.000,0,56.000,2,56.000,2,56.000,1,56.000,2,56.000,2,56.000,1,56.000,2,56.000,0,56.000,1,56.000,1,56.000,0,56.000,1,56.000,0,56.000,0,56.000,2,,,,,,,,,,
,,,112.200,3,112.200,1,112.200,2,,,,,,,56.100,2,56.100,0,56.100,2,56.100,3,56.100,1,56.100,0,56.100,1,56.100,1,56.100,1,56.100,0,56.100,0,56.100,1,56.100,1,56.100,0,56.100,1,56.100,0,56.100,1,56.100,2,56.100,2,56.100,0,,,,,,,,,,
,,,112.400,3,112.400,4,112.400,1,,,,,,,56.200,2,56.200,1,56.200,0,56.200,2,56.200,1,56.200,1,56.200,1,56.200,0,56.200,0,56.200,4,56.200,4,56.200,0,56.200,1,56.200,1,56.200,1,56.200,4,56.200,0,56.200,0,56.200,3,56.200,1,,,,,,,,,,
,,,112.600,2,112.600,0,112.600,4,,,,,,,56.300,2,56.300,1,56.300,2,56.300,0,56.300,0,56.300,0,56.300,0,56.300,2,56.300,0,56.300,1,56.300,3,56.300,2,56.300,1,56.300,5,56.300,3,56.300,1,56.300,2,56.300,0,56.300,2,56.300,3,,,,,,,,,,
,,,112.800,1,112.800,1,112.800,3,,,,,,,56.400,2,56.400,1,56.400,2,56.400,0,56.400,2,56.400,0,56.400,0,56.400,0,56.400,2,56.400,1,56.400,2,56.400,1,56.400,2,56.400,2,56.400,3,56.400,2,56.400,0,56.400,1,56.400,1,56.400,2,,,,,,,,,,
